,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,stop__smoking__,"부천여고 청소년 금연서포터즈 불을끄자 트위터입니다. 담배, 그리고 금연에 관한 내용을 자동적으로 트윗합니다. 관리자 아이디는 @Ha___rim 입니다",대한민국,411,277,39346,0,남/여친이 담배피면 확 식으면서 말야. ##QuitSmoking,['QuitSmoking']
1,ELIQUIDSUKCOM,"Over 200 Brands Available Now.
Premium E-Liquids & Vaping Supplies!","London, England",378,610,1231,0,Cancer Research UK has provided timely clarity about electronic cigarettes as the government considers how to chang… https://t.co/q3l8wLed7D,[]
2,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"Everyone: Oh you quit smoking that's awesome you must feel great!

Me, ready to combust like Hades at any given mom… https://t.co/szRKV81ZpV",[]
3,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"""담배 맛있습니까? 그거 독약입니다. 저도 하루에 두갑씩 폈었습니다."" 故 이주일 ##QuitSmoking",['QuitSmoking']
4,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,Hi there! 👋 We’re a #familyrunbusiness with experience in the #vaping industry since 2008. We pride ourselves in pr… https://t.co/2JVHjEDpx5,"['familyrunbusiness', 'vaping']"
5,orestiskekkis,"τσουλος pretty boy a true badass hustler the real deal the baddest man on the planet
 rockstar ο πιο σκληρός καργιολης της γης όλης",,114,390,124034,0,"Καλησπέρα κοζμε ♥️
#quitsmoking 💪❗ https://t.co/RlcwWPpOFM",['quitsmoking']
6,youredanright,An old soul trying to live as a millenial,"Ontario, Canada",114,68,339,1,"Everyone: Oh you quit smoking that's awesome you must feel great!

Me, ready to combust like Hades at any given mom… https://t.co/szRKV81ZpV",[]
7,OfficialDannie_,£dannieofficial,"London, England",197,174,7216,0,@NHS hospitals across England and Scotland will start offering free vape kits and e-liquid to A&amp;E patients to help… https://t.co/oc14fyYMKn,[]
8,CRUK_Policy,"Welcome to the Cancer Research UK policy team Twitter account, active in Westminster, Brussels, the devolved nations and locally. Together we will beat cancer.",,929,8811,9377,0,Just out! @CochraneLibrary @CRUK_Policy funded living review. 6 new studies. Moderate certainty that nicotine… https://t.co/Ujz03g3i45,['ecigs']
9,stop__smoking__,"부천여고 청소년 금연서포터즈 불을끄자 트위터입니다. 담배, 그리고 금연에 관한 내용을 자동적으로 트윗합니다. 관리자 아이디는 @Ha___rim 입니다",대한민국,411,277,39346,1,"""담배 맛있습니까? 그거 독약입니다. 저도 하루에 두갑씩 폈었습니다."" 故 이주일 ##QuitSmoking",['QuitSmoking']
10,RealBritishVape,❤️ Family Run Vape Shops ❤️ 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿 FREE DELIVERY ON ALL ORDERS OVER £19.99 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿,"5, BH18 8AZ & 500, BH14 0AD",291,215,663,1,Hi there! 👋 We’re a #familyrunbusiness with experience in the #vaping industry since 2008. We pride ourselves in pr… https://t.co/2JVHjEDpx5,"['familyrunbusiness', 'vaping']"
11,frogprince2,,UK,116,37,1017,0,"💥COMPETITION💥 
Do you want to quit this #vapril?🚭
We are giving 5 people the chance to make the switch this Vapril… https://t.co/v3H1e968k7",['vapril']
12,livescience_t,"Hello. I'm E. Scott, editor of http://LiveScience.Tech - A website for latest science news, discoveries, and innovations etc from all over the world!","Toronto, Ontario",6290,7849,6231,0,"How Are Smoking and Happiness Related To Each Other?

https://t.co/G1fiekHUVC

#quitsmoking #depression https://t.co/RZA7VzQJTH","['quitsmoking', 'depression']"
13,96_paulina,Ig: j.paulina97,"Kraków, Poland",117,20,307,0,"💥COMPETITION💥 
Do you want to quit this #vapril?🚭
We are giving 5 people the chance to make the switch this Vapril… https://t.co/v3H1e968k7",['vapril']
14,iamPsychicramta,"paranormal researcher, a psychic, animal lover. Vaper. I love vaping.",Planet Earth,3248,1342,14535,0,"💥COMPETITION💥 
Do you want to quit this #vapril?🚭
We are giving 5 people the chance to make the switch this Vapril… https://t.co/v3H1e968k7",['vapril']
15,Vape_Beauty_20,"I'm a Ambassador , Reviewer  Promotor for vape💨and CBD🌱DM me .. Would 💓to be a part of your team
 #VapeMasterz  #CBDiologyLLC   #FerrumCityLiquid #AvailVapor","North Carolina, USA",2201,896,10087,0,"💥COMPETITION💥 
Do you want to quit this #vapril?🚭
We are giving 5 people the chance to make the switch this Vapril… https://t.co/v3H1e968k7",['vapril']
16,SSA_Addiction,The Society for the Study of Addiction aims to broaden & promote the scientific understanding of addiction. https://www.addiction-ssa.org/social-media-policy/,UK,854,6835,19648,0,Just out! @CochraneLibrary @CRUK_Policy funded living review. 6 new studies. Moderate certainty that nicotine… https://t.co/Ujz03g3i45,['ecigs']
17,christoslowbap,"𝐒𝐨𝐦𝐞𝐭𝐢𝐦𝐞𝐬 𝐚𝐧𝐭𝐢𝐬𝐨𝐜𝐢𝐚𝐥.𝐀𝐥𝐰𝐚𝐲𝐬 𝐚𝐧𝐭𝐢𝐟𝐚𝐬𝐜𝐢𝐬𝐭.✰
☘️🏀 #team_kalokairakides","Αίγιο, Ελλάς",2067,1929,34323,0,"Καλησπέρα κοζμε ♥️
#quitsmoking 💪❗ https://t.co/RlcwWPpOFM",['quitsmoking']
18,robertjwest,"Emeritus Professor of Health Psychology; co-author of Energise: The Secrets of Motivation, Theory of Addiction, and The Behaviour Change Wheel",London,722,8906,23125,0,Just out! @CochraneLibrary @CRUK_Policy funded living review. 6 new studies. Moderate certainty that nicotine… https://t.co/Ujz03g3i45,['ecigs']
19,Angelweston08,"Engaged,3 boys,2 girls,family is a blessing given by god,fam are my life",Wolves,1414,137,6865,0,"💥COMPETITION💥 
Do you want to quit this #vapril?🚭
We are giving 5 people the chance to make the switch this Vapril… https://t.co/v3H1e968k7",['vapril']
20,JBPEREYRA1,"For those who read books, for more updates and content, please follow my Social Media pages at:

Facebook: https://m.facebook.com/DragoBonez/

#amwriting",,24,1531,3575,0,"This pretty much sums up my life:

1. Trying to #QuitSmoking.
2. Trying to #GetFit.
3. Trying to be… https://t.co/z7lpQM2msi","['QuitSmoking', 'GetFit']"
21,oinox_oos,νονός την νυχτα,Ελλάς,397,709,4743,0,"Καλησπέρα κοζμε ♥️
#quitsmoking 💪❗ https://t.co/RlcwWPpOFM",['quitsmoking']
22,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,Stop in for our #legendary #deals #stockup #nolimits #quitsmoking #startvaping #notblowingsmoke #vapingsaveslives… https://t.co/kf4eydMT1K,"['legendary', 'deals', 'stockup', 'nolimits', 'quitsmoking', 'startvaping', 'notblowingsmoke', 'vapingsaveslives']"
