,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,jop75ewing,,Peoria Illinois ,83,151,8232,0,"I'm more proud of #quittingsmoking than of anything else I've done in my life, including winning an Oscar -- Christine Lahti",['quittingsmoking']
1,Clarke_Tony,Inventor & Developer of Novel Medicines. Rugby Referee & Rowing enthusiast,Oxfordshire,22,31,320,0,.@WAVY_News recently interviewed Dr. Kimberly Ellis of @amrresearch1 where she spoke about the importance of… https://t.co/UIbgJOZhtK,[]
2,panthernoster,#harmreduction @KnowNicotine  //  partnered with @harmreduced,Geneva  🌍🌏🌎 ,1601,1102,62666,0,"I'm more proud of #quittingsmoking than of anything else I've done in my life, including winning an Oscar -- Christine Lahti",['quittingsmoking']
3,rights4vapers,An organization of vaping advocates dedicated to the advancement of Canadian-based research on vaping. Dr. Lalonde acts as an academic advisor.,"Toronto, Ontario",2899,1387,1529,0,"I'm more proud of #quittingsmoking than of anything else I've done in my life, including winning an Oscar -- Christine Lahti",['quittingsmoking']
4,SmokingHazards,It's time to stop smoking,,4953,739,7448,3,"I'm more proud of #quittingsmoking than of anything else I've done in my life, including winning an Oscar -- Christine Lahti",['quittingsmoking']
5,live_evergreen,"Take control of your health & wellbeing with Evergreen Life - book GP appointments, order prescriptions, access medical records and monitor your health data.","Manchester, England",1729,2891,2956,0,"You'd be amazed by how quickly your body can bounce back from smoking 🚭

What's the best way you, or someone you kn… https://t.co/2PfrHismDD",[]
6,achievelifesci,"Achieve's focus is to address the global smoking health epidemic, which is currently the leading cause of preventable death.",,234,311,325,1,.@WAVY_News recently interviewed Dr. Kimberly Ellis of @amrresearch1 where she spoke about the importance of… https://t.co/UIbgJOZhtK,[]
7,money_personal,Follow for exclusive #deals and #selfhelp resources. #OnlineDeals for you.,,306,799,148723,0,"Hypnosis for getting ready to stop smoking Guided Hypnosis
#Hypnosis #Motivation #QuittingSmoking
-&gt; https://t.co/UVtcAzLxF3","['Hypnosis', 'Motivation', 'QuittingSmoking']"
8,SmokingHazards,It's time to stop smoking,,4953,739,7448,0,"If #quittingsmoking seems hard right now, it is exactly what you should start doing.",['quittingsmoking']
9,SmokingHazards,It's time to stop smoking,,4953,739,7448,0,"The process of #quittingsmoking doesn't end with the last #cigarette. It's not quitting itself, the real key is staying quit.","['quittingsmoking', 'cigarette']"
10,SmokingHazards,It's time to stop smoking,,4953,739,7448,0,There will never be a better time to start #quittingsmoking than today.,['quittingsmoking']
11,swisspharmacy,Leading supplier of branded and generic medicines online,"Geneva,  Switzerland ",2,72,2992,0,#Nicotex (#GenericNicotine Chewing Gum) is used for #smokingcessation therapy. It reduces withdrawal symptoms inclu… https://t.co/XCOXWbNkm4,"['Nicotex', 'GenericNicotine', 'smokingcessation']"
12,CalNcpc,The Nicotine & Cannabis Policy Center conducts policy research to help reduce tobacco-related death & disease in 11 counties of the SJV and adjoining mountains.,"California, USA",430,173,1901,0,Did you know that #QuittingSmoking before #pregnancy can reduce exposure to harmful #chemicals? A #study published… https://t.co/JRAmlsDYxa,"['QuittingSmoking', 'pregnancy', 'chemicals', 'study']"
13,swisspharmacy,Leading supplier of branded and generic medicines online,"Geneva,  Switzerland ",2,72,2992,0,#Nicotex (#GenericNicotine Chewing Gum) is used for #smokingcessation therapy. It reduces withdrawal symptoms inclu… https://t.co/ybQklsf6od,"['Nicotex', 'GenericNicotine', 'smokingcessation']"
14,RajakShaubham,894080,,80,14,620,0,"70% of people with #Type2DM die of #CardiovascularDiseases Control of #Bloodglucose,#bloodpressure #lipids #obesity… https://t.co/WNzKrE9tel","['Type2DM', 'CardiovascularDiseases', 'Bloodglucose', 'bloodpressure', 'lipids', 'obesity']"
15,Joanneneville5,Specialist Stop Smoking Advisor @wearelscft @lancsquitsquad Aim to promote our service & other health related information RT and RT views/ comments are my own,Preston lancashire,231,86,711,0,What a lovely idea and a great distraction for anyone in Lancashire that is #quittingsmoking https://t.co/1GVZlfK1J3,['quittingsmoking']
16,HealthyQuit,"Tobacco cessation specialist....Anywhere, Anytime. Home delivery on nicotine replacement products","Boston, Ma",141,27,133,0,"When patients are confronted with the urge to smoke, remember the FIVE Ds.

Learn more about our program:… https://t.co/teUPMbgX0e",[]
17,SmokingHazards,It's time to stop smoking,,4953,739,7448,0,"I'm more proud of #quittingsmoking than of anything else I've done in my life, including winning an Oscar -- Christine Lahti",['quittingsmoking']
