,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,EmmaWatson325,Govt. relations director @acscanpa. Public health advocate. Tea over coffee. Opinions my own.,"Harrisburg, PA",837,226,210,0,Gaming revenue is up in PA since casinos have gone smokefree during the pandemic. No reason to gamble on health. Le… https://t.co/j9BbjdBsY7,[]
1,kerikeri79,"Canadian girl🇨🇦, mental health and addictions nurse, Winnipeg Jets and bomber fan!","Winnipeg, Manitoba",145,94,506,0,"So this happened! It’s been a struggle, with becoming allergic to the patch and having then to go cold turkey. Then… https://t.co/b8Ub0BdGi8",[]
2,TiffanyCloud8,@ACSCANPA fight #cancer @ColgateUniv BA @LibertyU MPP-In Progress  ALL OPINIONS MY OWN,,247,75,866,0,PA casinos staying #smokefree is a win for everyone! #cleanindoorair https://t.co/w30ZUhyKG1,"['smokefree', 'cleanindoorair']"
3,freenandes,"An any-shape-or-format-product designer. I'm on design, art, comics, strange music and sci-fi, sometimes political, critical, either in portuguese or english",Portugal,364,67,1461,0,"@steveschoger Right now, listening to Dean Blunt's Roaches #smokefree",['smokefree']
4,CasinoSmokefree,"We advocate for 100% #smokefree indoor air at casinos, which is good for business & protects the health of gaming employees & guests",ANR Foundation,731,387,748,0,Gaming revenue is up in PA since casinos have gone smokefree during the pandemic. No reason to gamble on health. Le… https://t.co/j9BbjdBsY7,[]
5,ACSCANPA,"ACS CAN, the nonprofit, nonpartisan advocacy affiliate of the American Cancer Society, is the nations leading cancer fighting organization.",Pennsylvania,578,510,2027,2,Gaming revenue is up in PA since casinos have gone smokefree during the pandemic. No reason to gamble on health. Le… https://t.co/j9BbjdBsY7,[]
6,KippaxRyan180,"29, Dad to Grace, Enjoy football MCFC⚽️Snooker🎱 and Darts #LoveTheDarts🎯 Living with Bipolar @bipolaruk @LiamGallagher is GOD🎸",Poulton-le-Fylde ,2942,806,19170,0,#smokefree https://t.co/yG3jkWIPHS,['smokefree']
7,ibuddycig,iBuddy Production Information and Related Tips. 100% FOLLOW BACK.,shenzhen China,329,279,866,0,"#ibuddycig will accompany you like your buddy!🥰🥰🥰

#vape #vapelife #vapenation #vapeporn #vapeon 
#VapeLifeStyle … https://t.co/PkjWPMZSuc","['ibuddycig', 'vape', 'vapelife', 'vapenation', 'vapeporn', 'vapeon', 'VapeLifeStyle']"
8,ibuddycig,iBuddy Production Information and Related Tips. 100% FOLLOW BACK.,shenzhen China,329,279,866,0,"#ibuddycig will accompany you like your buddy!💕💕💕

#vape #vapelife #vapenation #vapeporn #vapeon 
#vapegirls… https://t.co/QaV2uV6WD6","['ibuddycig', 'vape', 'vapelife', 'vapenation', 'vapeporn', 'vapeon', 'vapegirls']"
9,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,Yep good idea 👇👇👇👇. #ecigarettes #vapingsaveslives #QuitSMOKING #smokefree #HarmReduction @GrimmGreen @KnowNicotine. https://t.co/jmyaYNIasi,"['ecigarettes', 'vapingsaveslives', 'QuitSMOKING', 'smokefree', 'HarmReduction']"
