,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,kaeru728,"SUSHIBOYS、INNOSENT in FORMAL、Attractions、Nulbarich、Suchmos、
SANABAGUN.、おとぎ話、UG、NBCP、ペト、宇田川別館バンド、セカイイチ、KING  GNU、ザ・おめでたズ、福永隼之介、
showmore、Ochunism、ラッキリ、",Osaka,1047,405,38263,0,"新しいライブ衣装！いつもありがとうございます😊

#ぽおるすみす #イノセン ＃イノセントインフォーマル #innosentinformal #fr2 #smokingkills https://t.co/WucBgwcIIG","['ぽおるすみす', 'イノセン', 'イノセントインフォーマル', 'innosentinformal', 'fr2', 'smokingkills']"
1,TerryDeanPepper,"Official account of http://www.pepper.consulting, the management consultancy helping companies build their business on Purpose. Founded in 2020.","Frankfurt, Germany",754,279,4432,0,"@NBCNews Are you sure, guys? They’ve only been around since 1924. #mentholban #smokingkills","['mentholban', 'smokingkills']"
2,ichi19770926,洋、邦問わずロック大好き！ グリーンカレー、担々麺にはまってます！,,1152,1144,9236,0,"新しいライブ衣装！いつもありがとうございます😊

#ぽおるすみす #イノセン ＃イノセントインフォーマル #innosentinformal #fr2 #smokingkills https://t.co/WucBgwcIIG","['ぽおるすみす', 'イノセン', 'イノセントインフォーマル', 'innosentinformal', 'fr2', 'smokingkills']"
3,DhruvKatyal8,Dhruv katyal #creator #believer #positive #entreprenuer,,47,0,10,0,"I think cigarette companies should be banned in India and smoking should become a crime, as this pandemic has taugh… https://t.co/AKuAf9RM1y",[]
4,Toshiccco,17 🇮🇩♀️ | 日本語勉強中 🇯🇵 | Band-core 🎸🥁🎤 | Illustrator/Artist 🎨🖌️ | Bye-Bye-Handの方程式 | INNOSENT in FORMAL | Memes | FB (@toshicco) | IG (@toshicccoo),"Sukabumi, Indonesia",2394,415,4920,0,"新しいライブ衣装！いつもありがとうございます😊

#ぽおるすみす #イノセン ＃イノセントインフォーマル #innosentinformal #fr2 #smokingkills https://t.co/WucBgwcIIG","['ぽおるすみす', 'イノセン', 'イノセントインフォーマル', 'innosentinformal', 'fr2', 'smokingkills']"
5,stone_usb,FALL OUT BOY→MWAM→打首獄門同好会/Xmas Eileen/THE GAME SHOP/イノセン/fcp/HNIB/ING/テンフィ/四星球/オフスプ/セクマシ/UZMK/レキシ/etc.../LOUDNESS/Underworld/...に涙する雑食系 🌱香草自家栽培中🏔そこそこ東北贔屓,生まれと育ちが江戸前寿司の民,785,705,96116,0,"新しいライブ衣装！いつもありがとうございます😊

#ぽおるすみす #イノセン ＃イノセントインフォーマル #innosentinformal #fr2 #smokingkills https://t.co/WucBgwcIIG","['ぽおるすみす', 'イノセン', 'イノセントインフォーマル', 'innosentinformal', 'fr2', 'smokingkills']"
6,innosent_info,カートゥーンバンド:イノセントインフォーマル #イノセン TVアニメ「池袋ウエストゲートパーク」EDテーマ＆ティザー曲担当「after song」「思うまま」「No.1」MV→ http://youtu.be/Ai1qSS5as24 楽曲はコチラ→ http://va.lnk.to/innosent2,,4084,5595,3199,6,"新しいライブ衣装！いつもありがとうございます😊

#ぽおるすみす #イノセン ＃イノセントインフォーマル #innosentinformal #fr2 #smokingkills https://t.co/WucBgwcIIG","['ぽおるすみす', 'イノセン', 'イノセントインフォーマル', 'innosentinformal', 'fr2', 'smokingkills']"
7,SimpleeKare,"Digital first healthcare company working to improve patient experience via clinics, home based services and digital channels.
#Bhubaneswar #Cuttack #Vizag","Bhubaneshwar, India",11,344,7613,0,"Don't Burn Your Life Away. Say No to Smoking and Yes to a Healthy Life. 

Smoking Kills. Quit Smoking Today.… https://t.co/C5gzUdaS3B",[]
8,arar_group,Assisting. Remarkable. Accomplishment. Results,"Lahore, Pakistan ",0,20,52,0,"𝗦𝗧⛔𝗣 𝗦𝗠🚫𝗞𝗜𝗡𝗚!

8 Millions people died  because of
𝑻𝒐𝒃𝒂𝒄𝒄𝒐 last year.

✴️Increasing tobacco taxes is the most effect… https://t.co/JSRx7pnyft",[]
9,cnurbanu__,,"İstanbul, Türkiye",162,98,1821,0,"Böğürtlenli ve mentollü böyle üflemeli bir şey var ya işte ondanım var artık, bugün beni hiçbir şey üzemez 🤭🤭 #smokingkills 😶",['smokingkills']
10,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"Lung cancer has become one of the most prevalent cancers. It has been mostly associated with smoking. 
For more det… https://t.co/Y2r3qKD9Pa",[]
11,CARF3,"Cancer Aid and Research Foundation
Is a registered medical NGO and non-profit Charitable Organization.",Mumbai,774,428,1223,1,"Lung cancer has become one of the most prevalent cancers. It has been mostly associated with smoking. 
For more det… https://t.co/Y2r3qKD9Pa",[]
12,nq9eRKXZN4si9xm,道路や側溝、河川敷にゴミや吸い殻を何故捨てるのか常識疑っちゃいます不法投棄する人達も断固として許せない！タバコの受動喫煙も許せない！日本の国土を汚すな環境破壊ダメゴミ持ち帰れ🚭🚯,,33,10,6358,0,"グッ〜ドジョブ！
#smokingkills
#人の時を奪う
#受動喫煙に反対します https://t.co/2rTK0gvWZS","['smokingkills', '人の時を奪う', '受動喫煙に反対します']"
13,theChinesejimi,"Government, a word that etymologically means “to control”

- The Matrix Has You...

#vapingsaveslives #vapingsavedmylife",𝙵𝙴𝙼𝙰 𝚁𝚎𝚐𝚒𝚘𝚗 🆅,690,675,11985,0,"Finally, we're moving back towards helping smoker's quit deadly tobacco!! #vapingsaveslives #smokingkills https://t.co/fJ1z0IIILa","['vapingsaveslives', 'smokingkills']"
14,terminate_ct,受動喫煙のない社会にしたいです。昔から受動喫煙に苦しんできました。改善の遅さに失望する毎日。賛同して下さる方相互フォローお願いします🤲,,701,709,7057,0,"喫煙者はガッカリしてんでしょーね。
当たり前のことだったんだけど、完全なるデマを吹聴する奴がいて困りますね。
#smokingkills
#人の時を奪う
#受動喫煙に反対します https://t.co/tjOwfH1rM8","['smokingkills', '人の時を奪う', '受動喫煙に反対します']"
15,terminate_ct,受動喫煙のない社会にしたいです。昔から受動喫煙に苦しんできました。改善の遅さに失望する毎日。賛同して下さる方相互フォローお願いします🤲,,701,709,7057,1,"グッ〜ドジョブ！
#smokingkills
#人の時を奪う
#受動喫煙に反対します https://t.co/2rTK0gvWZS","['smokingkills', '人の時を奪う', '受動喫煙に反対します']"
16,CarrieHKelly,Not ashamed of being white. Activist who tweets: environment; food; oceans; science; exercise; non-smoker's rights; bird-watching; movies. My Tweets are my own!,"Dana Point, CA USA",669,715,60419,0,@nytimes Pesticides in 2ndhandsmoke are destroying #airqualty &amp; polluting streams &amp; oceans. This is a destructive a… https://t.co/jgBuy8Gy8B,['airqualty']
