,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,bentollphd,"Prof & VC Resrch Public Hlth @MUSC Dir Tobacco Tx @MUSChealth @MUSCHollings Passionate: mentoring students, cancer prvntn thru tobacco, vaping tx & 🫁 screening","Charleston, SC",443,289,486,0,@gfong570 @lauriemcginley2 @bylenasun @ITCProject .@ITCProject this shows such convincing data that a ban on Mentho… https://t.co/bY1KtrZjpQ,[]
1,ITCProject,International Tobacco Control Policy Evaluation Project: Promoting Evidence-Based Strategies to Fight the Global Tobacco Epidemic,,251,1725,2230,0,@gfong570 @lauriemcginley2 @bylenasun @ITCProject .@ITCProject this shows such convincing data that a ban on Mentho… https://t.co/bY1KtrZjpQ,[]
2,Alansmith0161,"Vape Shop in Leeds.
60 North Lane
Headingley
Leeds
LS63LF",,4,0,268,0,"Blaze vape range
-
 #vapelife #vapelyfestyle #leeds #ivapeloungeleeds #ivapelounge #stopsmoking #eliquids #ecig… https://t.co/WZmOu8AEQg","['vapelife', 'vapelyfestyle', 'leeds', 'ivapeloungeleeds', 'ivapelounge', 'stopsmoking', 'eliquids', 'ecig']"
3,Alansmith0161,"Vape Shop in Leeds.
60 North Lane
Headingley
Leeds
LS63LF",,4,0,268,0,"T18E endura 
-
 #vapelife #vapelyfestyle #leeds #ivapeloungeleeds #ivapelounge #stopsmoking #eliquids #ecig… https://t.co/EEC8cdZAs1","['vapelife', 'vapelyfestyle', 'leeds', 'ivapeloungeleeds', 'ivapelounge', 'stopsmoking', 'eliquids', 'ecig']"
4,francoise_shep,"Emergency medicine doctor, mother of 4, wife, cook, book lover, espresso-fuelled life juggler.",,356,493,3065,0,"Great to see our new project to hand out vape starter packs to people in A&amp;E as a top story on @BBCNews today!

👉… https://t.co/2SanbxOhFI",[]
5,msh_wa,"Make Smoking History Campaign WA Official Twitter. Tweets on smoking, quitting, cancer and public health education, campaigns and advocacy. RT ≠ endorsement.","Perth, Western Australia",715,1275,2719,0,"Make Smoking History is now on Instagram 🎉🎉 

Follow us on Instagram via this link👇: https://t.co/ZUMGQZ5bgR… https://t.co/KITPYQGs3n",[]
6,LHortonUEA,"Media relations manager. Tweeting about environmental, science, and health research @uniofeastanglia. Views are my own etc. Contact l.horton@uea.ac.uk",Norwich,1018,1353,3481,0,"Great to see our new project to hand out vape starter packs to people in A&amp;E as a top story on @BBCNews today!

👉… https://t.co/2SanbxOhFI",[]
7,lpottsUEA,"Media Relations Manager, International and Faculty of Arts & Humanities, @uniofeastanglia. Views are my own. Contact laura.potts@uea.ac.uk",,5000,1577,8565,0,A new trial from #UEA will see smokers attending hospital emergency departments given e-cigarette starter packs to… https://t.co/1FOgIUmQ1b,['UEA']
8,Drainpipes,"EM Doc @NNUH, Lecturer @UEAMED. Health promotion in ED, health informatics, health systems research, greyhounds! 🏳️‍🌈","Norwich, England",217,109,38,0,"Great to see our new project to hand out vape starter packs to people in A&amp;E as a top story on @BBCNews today!

👉… https://t.co/2SanbxOhFI",[]
9,bellaby99,"Navy Vet, patriot, feminist!
Nazi throat-puncher and proud RESISTOR and PERSISTER!  Proud to be from NY!
 #Resistance #RESIST #VOTEBLUE #FBR #BLM","Bluffton, SC",5000,3843,25493,0,#StopSmoking It Kills ! That's Been Proven! @iquitsmokingcig https://t.co/Ya6UvIx2kC,['StopSmoking']
