,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,MattyGagliardi,*Retired Pro Snowboarder* 🇮🇹 *420* *49ers* *Dog lover* *Crypto*,"Gold Beach, OR",40,11,152,0,"If you don’t use em, please send me your zyn reward codes! If you’re not 21 or don’t have the time, I’d love them!… https://t.co/d77mOacTmT",[]
1,tegegonnadie,"Hago musikita donde filosofo de la vida y la razon de existencia del ser humano
ig: @tegedc",artista,431,140,4367,0,ME CAMINÉ 15 KILOMETROS EN DOS HORAS #TobaccoFree #YourOwnBoss #SharkMentality https://t.co/aC3kiNbi1u,"['TobaccoFree', 'YourOwnBoss', 'SharkMentality']"
2,Bdrumartin,"We have to improve life, not just for those who have the most skills; But also for & with those who never get the opportunity. Dr. Dorothy Height. Tweets my own",Kentucky,3833,1783,37159,0,Campaign for the Culture https://t.co/jcEkYO60FF #TobaccoFree #MentholIsAddictive,"['TobaccoFree', 'MentholIsAddictive']"
3,shirobearr,"BRB BIO
#RaiderNation","Kennewick, WA",418,330,20019,0,"If you’re looking to stop using tobacco products, give Zyn a try! I got my man to stop chewing (after trying unsucc… https://t.co/zDfBMSwjLU",[]
4,MiraOsinibi,"specialist Paediatric respiratory nurse, photographer. Opinions my own.","Camberwell, London",174,107,1027,0,Really looking forward presenting Rapid fire about ‘Increased exposure to tobacco smoke for children during the COV… https://t.co/KEh6locUe9,[]
5,SuptCollver,Superintendent of the Brisbane School District.,"Brisbane, CA",171,60,121,0,"Don't miss our upcoming Parenting Series webinar with @acsteenson 4/28, 6:30-7:30pm, to learn how to create healthy… https://t.co/MMi8uMOqr3",[]
6,KateF224,Doing stuff & laughing out loud! Trying not to fall. Crossed rubicon from Belfast.Nurse MPH QUB UCD. Cochrane author #tobaccofree #research Comments≠endorsement,Dublin ,888,679,5832,0,@patriciaefitz @StirlingCampus @doclourda @ruaraidhdobson @HelenMcAvoy2 @ucddublin @FentonHowell @IrishResearch… https://t.co/m6KAT4iP3A,[]
7,PreventiveBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about preventive medicine. Learn the secrets to living the longest and healthiest life possible!!,,0,60,3975,0,"Bernard Schnupfpulver mit 10% Rabatt!

Für kurze Zeit, solange der Vorrat reicht.

-&gt; https://t.co/Ms6or2tLX0 

WE… https://t.co/9byUXU0Kmf",[]
8,snuffstore,"SnuffStore – der Onlineshop mit der vielfältigsten Auswahl an Genussprodukten in Deutschland. We love Snuff & Chew!
Schnupf- & Kautabak, Tabakfreies, Zubehör",Kempten,24,152,867,1,"Bernard Schnupfpulver mit 10% Rabatt!

Für kurze Zeit, solange der Vorrat reicht.

-&gt; https://t.co/Ms6or2tLX0 

WE… https://t.co/9byUXU0Kmf",[]
9,nicolasabdalla,"- Not sure what the hell is going on
- My only account, so expect to see a little bit of everything
- Instagram: nicolasabdallah",,737,577,9612,0,"Nicotine withdrawal is a bitch, and not a good one
#TobaccoFree",['TobaccoFree']
